"id","no_surah","bilangan_ayat","muka_surat","juzuk","nama_english","nama_melayu","nama_arab","maksud_english","maksud_melayu","tempat_diturunkan","created_at","updated_at","deleted_at"
"103","103","3","601","30","Al-'Asr","Al-'Asr","العصر","The Declining Day","Masa","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"104","104","9","601","30","Al-Humazah","Al-Humazah","الهمزة","The Traducer","Pengumpat","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"105","105","5","601","30","Al-Fiil","Al-Fil","الفيل","The Elephant","Gajah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"106","106","4","602","30","Quraisy","Quraysh","قريش","Quraysh","Kaum Quraisy","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"107","107","7","602","30","Al-Maa'uun","Al-Ma'un","الماعون","The Small kindnesses","Barangan Berguna","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"108","108","3","602","30","Al-Kauthar","Al-Kauthar","الكوثر","The Abundance","Sungai Di Syurga","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"109","109","6","603","30","Al-Kaafiruun","Al-Kafirun","الكافرون","The Disbelievers","Golongan Kafir","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"110","110","3","603","30","An-Nasr","An-Nasr","النصر","The Divine Support","Pertolongan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"111","111","5","603","30","Al-Masad","Al-Masad","المسد","The Palm Fiber","Nyalaan Api","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"112","112","4","604","30","Al-Ikhlaas","Al-Ikhlas","الإخلاص","The Sincerity","Tulus Ikhlas / Memurnikan Keesaan Allah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"113","113","5","604","30","Al-Falaq","Al-Falaq","الفلق","The Daybreak","Waktu Subuh / Dinihari","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"114","114","6","604","30","An-Naas","An-Nas","الناس","Mankind","Manusia","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
